NIA;NOMBRE;APELLIDO;ASIGNATURA
227;ALFONSO;SANCHEZ;Literatura
227;ALFONSO;SANCHEZ;Química
245;JUAN;FERNANDEZ;Inglés
245;JUAN;FERNANDEZ;Matemáticas
352;HUGO;GONZALEZ;Física
352;HUGO;GONZALEZ;Geografía
452;RAUL;FERNANDEZ;Biología
452;RAUL;FERNANDEZ;Física
519;CARLOS;GONZALEZ;Biología
519;CARLOS;GONZALEZ;Física
522;HUGO;TORRES;Biología
522;HUGO;TORRES;Inglés
550;DAVID;MARTINEZ;Física
550;DAVID;MARTINEZ;Literatura
640;LUIS;GONZALEZ;Geografía
640;LUIS;GONZALEZ;Matemáticas
963;DAVID;SANCHEZ;Literatura
963;DAVID;SANCHEZ;Matemáticas
